link,title,author,video_id
https://www.youtube.com/watch?v=7UslTkBHTtw,"Challa (Main Lad Jaana) - URI | Vicky Kaushal , Yami Gautam | Shashwat S | Romy , Vivek | Kumaar",Zee Music Company,7UslTkBHTtw
https://www.youtube.com/watch?v=3ociATLe100,Coldplay - Hymn For The Weekend - Alan Walker Remix - (Unofficial Video),Rahul Soultrader,3ociATLe100
https://www.youtube.com/watch?v=YAQdrO3FCww,Mere Naseeb Mein (Remix) - Baby H | Megha Chatterji,SonyMusicIndiaVEVO,YAQdrO3FCww
https://www.youtube.com/watch?v=DyDfgMOUjCI&list=RDDyDfgMOUjCI&start_radio=1,Billie Eilish - bad guy,BillieEilishVEVO,DyDfgMOUjCI
https://www.youtube.com/watch?v=WM0i4jhKRxc,"Jatt Ludhiyane Da ??? Student Of The Year 2 | Tiger Shroff, Tara & Ananya |Vishal & Shekhar| Payal Dev",Zee Music Company,WM0i4jhKRxc
https://www.youtube.com/watch?v=cPAbx5kgCJo,Auli'i Cravalho - How Far I'll Go,DisneyMusicVEVO,cPAbx5kgCJo
https://www.youtube.com/watch?v=gIRv5zWbv_g,Usher - Don't Waste My Time (Official Video) ft. Ella Mai,UsherVEVO,gIRv5zWbv_g
https://www.youtube.com/watch?v=wp9TsgjgJPU,[Bromance] V & Jin (BTS) - Even If I Die It's You || Hwarang OST MV,LV Queen,wp9TsgjgJPU
https://www.youtube.com/watch?v=gl1aHhXnN1k,"Ariana Grande - thank u, next",ArianaGrandeVevo,gl1aHhXnN1k
https://www.youtube.com/watch?v=D8FWAW0iO3g,C-BooL & Skytech - La La Love feat. Giang Pham (Official Video),C-BooL,D8FWAW0iO3g
https://www.youtube.com/watch?v=1GwBa7iiiro,R NAIT : Galat Bande (Official Song) | G Skillz | New Punjabi Song 2020 | White Hill Music,White Hill Music,1GwBa7iiiro
https://www.youtube.com/watch?v=hSjIz8oQuko,P!nk - Family Portrait (Official Video),PinkVEVO,hSjIz8oQuko
https://www.youtube.com/watch?v=ErvgV4P6Fzc,Guns N' Roses - Patience,GunsNRosesVEVO,ErvgV4P6Fzc
https://www.youtube.com/watch?v=OX-h7MtkeOI,O Saathi Video Song | Baaghi 2 | Tiger Shroff | Disha Patani | Arko | Ahmed Khan | Sajid Nadiadwala,T-Series,OX-h7MtkeOI
https://www.youtube.com/watch?v=y83x7MgzWOA,Ed Sheeran & Justin Bieber - I Don't Care [Official Video],Ed Sheeran,y83x7MgzWOA
https://www.youtube.com/watch?v=BcqxLCWn-CE,Lauv - I Like Me Better [Official Video],Lauv,BcqxLCWn-CE
https://www.youtube.com/watch?v=IVMquMDUQZY,"Muqabla - Street Dancer 3D |A.R. Rahman, Prabhudeva, Varun D, Shraddha K, Tanishk B, Yash ,Parampara",T-Series,IVMquMDUQZY
https://www.youtube.com/watch?v=mY00uFz5bTA,Justin Bieber - Love Yourself (Karaoke Version),Sing King,mY00uFz5bTA
https://www.youtube.com/watch?v=trbwqF0d7NA,The 1975 - A Change Of Heart (Official Video),The1975VEVO,trbwqF0d7NA
https://www.youtube.com/watch?v=_WRhbnN2ckY,Pia Mia - F**k With U ft. G-Eazy (Official Music Video),PrincessPiaMiaVEVO,_WRhbnN2ckY
https://www.youtube.com/watch?v=_bHDUATHWRo,"Thodi Jagah Full Video | Marjaavaan | Riteish D, Sidharth M, Tara S | Arijit Singh | Tanishk Bagchi",T-Series,_bHDUATHWRo
https://www.youtube.com/watch?v=rsJbETGV5rU,Plan B - Te Acuerdas De Mi [Official Video],Plan B,rsJbETGV5rU
https://www.youtube.com/watch?v=FzG4uDgje3M&list=PLGq6hdSw62eWPlIXPFjP70-t_6W7nQSvH,El Chombo - Dame Tu Cosita feat. Cutty Ranks (Official Video) [Ultra Music],Ultra Music,FzG4uDgje3M
https://www.youtube.com/watch?v=9-lkv7YakGQ,P!nk - 90 Days (Official Video) ft. Wrabel,PinkVEVO,9-lkv7YakGQ
https://www.youtube.com/watch?v=EgBJmlPo8Xw,Billie Eilish - everything i wanted,BillieEilishVEVO,EgBJmlPo8Xw
https://www.youtube.com/watch?v=ZvCRcK34ulk,Ariana Grande - Side to Side - Sexy Bike Riding Version,tederer,ZvCRcK34ulk
https://www.youtube.com/watch?v=vxzfsBDx590,Master - Vaathi Coming Lyric | Thalapathy Vijay | Anirudh Ravichander | Lokesh Kanagaraj,Sony Music South,vxzfsBDx590
https://www.youtube.com/watch?v=UdxPKQ0_PdE,Jason Mraz - I Won't Give Up (Karaoke Version),Sing King,UdxPKQ0_PdE
https://www.youtube.com/watch?v=a9i39WQQx_Q,"Disproving WINNER Suspicions, Strict Lisa, Monsta X Apology, (G)I-DLE Soyeon World Record, and More",KPOP Junkee,a9i39WQQx_Q
https://www.youtube.com/watch?v=2a34XyiZO14,The Life Of Ram Full Video Song | Jaanu Video Songs | Sharwanand | Samantha | Govind Vasantha,Aditya Music,2a34XyiZO14
https://www.youtube.com/watch?v=zjMtaw2mrrc&list=RDzjMtaw2mrrc&start_radio=1,"Illegal Weapon 2.0 - Street Dancer 3D | Varun D, Shraddha K | Tanishk B,Jasmine Sandlas,Garry Sandhu",T-Series,zjMtaw2mrrc
https://www.youtube.com/watch?v=sWK6eBYGZBM,"Becky G, Maluma - La Respuesta (Official Video)",BeckyGVEVO,sWK6eBYGZBM
https://www.youtube.com/watch?v=uvMK6udTMR8,Jarico - U (Original Mix),HouseMusicHD,uvMK6udTMR8
https://www.youtube.com/watch?v=ZVNiwduDDh4,Pahla Pahla Pyar Mujhe Hone Laga H Yaar Cute Girl Love Story Pahali Daffa || DJ Rdx Music Production,Rdx Music Production,ZVNiwduDDh4
https://www.youtube.com/watch?v=kg1BljLu9YY,"LSD - Thunderclouds (Official Video) ft. Sia, Diplo, Labrinth",SiaVEVO,kg1BljLu9YY
https://www.youtube.com/watch?v=SA7AIQw-7Ms,G-Eazy & Halsey - Him & I (Official Music Video),GEazyMusicVEVO,SA7AIQw-7Ms
https://www.youtube.com/watch?v=9TQKyDD9Yig,Mabel - Don't Call Me Up,MabelVEVO,9TQKyDD9Yig
https://www.youtube.com/watch?v=cJc7xWJbwJw,Cardi B - Press [Official Music Video],Cardi B,cJc7xWJbwJw
https://www.youtube.com/watch?v=n-D1EB74Ckg,Selena Gomez - Come & Get It,SelenaGomezVEVO,n-D1EB74Ckg
